frame_id,timestamp,position,state,track_id
33,2025-11-08 13:25:35.669787,"[251.87493614725176, 148.9259253771778]","[251.87493614725176, 148.9259253771778, 63.583549829105735, 19.938883105193174]",11
34,2025-11-08 13:25:36.917817,"[165.91160583496094, 158.5157012939453]","[165.91160583496094, 158.5157012939453, 0.0, 0.0]",12
36,2025-11-08 13:25:39.631367,"[212.33175540709175, 203.01287777231968]","[212.33175540709175, 203.01287777231968, 18.56898818542593, 17.79976049038436]",12
38,2025-11-08 13:25:42.293352,"[184.65158344750768, 175.33227541014094]","[184.65158344750768, 175.33227541014094, -13.146910467507261, -13.163573550857247]",12
39,2025-11-08 13:25:43.602333,"[182.38126411282178, 155.06042101916785]","[182.38126411282178, 155.06042101916785, -8.817983923061526, -15.992697606214705]",12
43,2025-11-08 13:25:49.006497,"[162.7895239581172, 61.506193277148824]","[162.7895239581172, 61.506193277148824, -5.913065115949149, -21.473336112022714]",12
37,2025-11-08 13:25:40.905774,"[154.6349334716797, 126.74252319335938]","[154.6349334716797, 126.74252319335938, 0.0, 0.0]",13
38,2025-11-08 13:25:42.293352,"[141.30353360752494, 173.7416916653638]","[141.30353360752494, 173.7416916653638, -6.665949892700315, 23.500465459395762]",13
42,2025-11-08 13:25:47.687463,"[258.7747802734375, 55.264404296875]","[258.7747802734375, 55.264404296875, 0.0, 0.0]",14
44,2025-11-08 13:25:50.045777,"[213.4135633569225, 138.3172095790665]","[213.4135633569225, 138.3172095790665, -18.14539394558538, 33.2227830859336]",14
46,2025-11-08 13:25:52.162243,"[150.99334027287514, 165.42526430903797]","[150.99334027287514, 165.42526430903797, -30.930679236534196, 13.974708923285341]",14
47,2025-11-08 13:25:53.156525,"[114.04576282613978, 136.3632514756417]","[114.04576282613978, 136.3632514756417, -33.32542866301296, -3.154077561685508]",14
45,2025-11-08 13:25:51.114142,"[29.390478134155273, 122.10131072998047]","[29.390478134155273, 122.10131072998047, 0.0, 0.0]",15
50,2025-11-08 13:25:56.598288,"[102.53504332427092, 62.40873918862668]","[102.53504332427092, 62.40873918862668, 14.06754723172058, -11.480389108312457]",15
52,2025-11-08 13:25:58.286458,"[101.39483999331817, 54.88517356216008]","[101.39483999331817, 54.88517356216008, 0.5820024138293807, -4.369300991977066]",15
45,2025-11-08 13:25:51.114142,"[424.2918701171875, 68.20323944091797]","[424.2918701171875, 68.20323944091797, 0.0, 0.0]",16
48,2025-11-08 13:25:54.352963,"[249.60028076171875, 144.4265594482422]","[249.60028076171875, 144.4265594482422, 0.0, 0.0]",17
51,2025-11-08 13:25:57.572103,"[172.8665829412406, 141.6699621666473]","[172.8665829412406, 141.6699621666473, -23.02154797709737, -0.8270308661553463]",17
53,2025-11-08 13:25:59.010255,"[246.1076202392578, 162.64614868164062]","[246.1076202392578, 162.64614868164062, 0.0, 0.0]",18
54,2025-11-08 13:25:59.924622,"[206.96885422572225, 144.76524568260893]","[206.96885422572225, 144.76524568260893, -19.5701168494575, -8.94078676225629]",18
55,2025-11-08 13:26:01.067685,"[171.01198906234683, 124.42344452854798]","[171.01198906234683, 124.42344452854798, -35.48952388550365, -20.016650335068086]",18
56,2025-11-08 13:26:02.148273,"[188.54655736688787, 106.84166959780157]","[188.54655736688787, 106.84166959780157, -3.9356418583760657, -18.567690662484654]",18
58,2025-11-08 13:26:04.648749,"[184.76277021272477, 85.30839797122688]","[184.76277021272477, 85.30839797122688, -2.6570216749126576, -13.687155092727124]",18
59,2025-11-08 13:26:05.763235,"[168.37146755388127, 74.87292524712886]","[168.37146755388127, 74.87292524712886, -6.289187427646645, -12.827215693502504]",18
60,2025-11-08 13:26:06.993369,"[128.7088961201589, 79.96878116788406]","[128.7088961201589, 79.96878116788406, -14.296419890303204, -8.526956515887331]",18
60,2025-11-08 13:26:06.993369,"[366.45703125, 120.50935363769531]","[366.45703125, 120.50935363769531, 0.0, 0.0]",19
61,2025-11-08 13:26:08.064655,"[211.756591796875, 176.106201171875]","[211.756591796875, 176.106201171875, 0.0, 0.0]",20
62,2025-11-08 13:26:09.295330,"[232.86555635004356, 154.1050149321184]","[232.86555635004356, 154.1050149321184, 10.554878064722308, -11.001005636963834]",20
63,2025-11-08 13:26:10.463533,"[230.47470809611906, 145.54934229931476]","[230.47470809611906, 145.54934229931476, -2.0216430788138187, -8.625412219272743]",20
64,2025-11-08 13:26:11.703633,"[221.34362786227842, 74.35361979386917]","[221.34362786227842, 74.35361979386917, -6.252367868310779, -45.86011266627726]",20
65,2025-11-08 13:26:12.896102,"[168.34976196289062, 150.0352020263672]","[168.34976196289062, 150.0352020263672, 0.0, 0.0]",21
66,2025-11-08 13:26:14.289465,"[261.43241967745803, 117.11692089127735]","[261.43241967745803, 117.11692089127735, 46.54307413529988, -16.459757777601077]",21
67,2025-11-08 13:26:15.444019,"[233.91555889593258, 113.59570378911106]","[233.91555889593258, 113.59570378911106, -25.404711137185494, -3.8902173465843894]",21
68,2025-11-08 13:26:16.659952,"[170.7698536839463, 123.44967721591092]","[170.7698536839463, 123.44967721591092, -47.86383915685147, 4.288754820771764]",21
69,2025-11-08 13:26:17.875353,"[147.20892017567778, 104.22809162205266]","[147.20892017567778, 104.22809162205266, -37.424037006232766, -5.810584985402556]",21
70,2025-11-08 13:26:19.142101,"[158.46030342207118, 122.33572211670699]","[158.46030342207118, 122.33572211670699, -20.88800576681794, 2.314919762508417]",21
71,2025-11-08 13:26:20.229699,"[122.40134917396439, 109.82014541611099]","[122.40134917396439, 109.82014541611099, -25.2296599951883, -1.929303184875744]",21
72,2025-11-08 13:26:21.533359,"[118.5437481367802, 112.50336687668036]","[118.5437481367802, 112.50336687668036, -19.81125573316515, -0.7599014324906905]",21
73,2025-11-08 13:26:22.860444,"[220.26174926757812, 156.19825744628906]","[220.26174926757812, 156.19825744628906, 0.0, 0.0]",22
74,2025-11-08 13:26:24.131919,"[188.00644357988983, 156.5447458511155]","[188.00644357988983, 156.5447458511155, -16.128257623266038, 0.17325069898960074]",22
75,2025-11-08 13:26:25.405873,"[239.06677256581693, 175.66997660486282]","[239.06677256581693, 175.66997660486282, 49.14414651196613, 18.584730441707507]",22
76,2025-11-08 13:26:26.699448,"[239.27872302221436, 160.900652026847]","[239.27872302221436, 160.900652026847, 20.025293592583584, -1.263792630532297]",22
77,2025-11-08 13:26:28.015371,"[235.58232400655214, 176.13654201581735]","[235.58232400655214, 176.13654201581735, 9.835163198758837, 5.823978049499681]",22
79,2025-11-08 13:26:30.703639,"[220.1948460386418, 167.50789737512594]","[220.1948460386418, 167.50789737512594, 0.4778971647456096, 0.4119577926389759]",22
78,2025-11-08 13:26:29.315377,"[156.18397521972656, 65.93295288085938]","[156.18397521972656, 65.93295288085938, 0.0, 0.0]",23
